                                                                                            202.21
                               Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 13.12.2018

                                        Орловская область

Регистр.                   Название                Тип объекта       Географические        Номенкл.
 номер              географического объекта                            координаты             листа
                                                                                              карты
                                                                   Широта       Долгота    масштаба
                                                                                           1 :100 000
   1                           2                          3                 4                   5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 3


0010410    Ливны                                   город           52°26'        37°37'    N-37-124
                                                   обл.подч.

0064333    Мценск                                  город           53°17'        36°34'    N-37-098
                                                   обл.подч.

0010427    Орел                                    город           52°58'        36°07'    N-37-109
                                                   обл.подч.




                                         Болховский район
0063032   Шатилово                         деревня         52°43'         37°13'     N-37-111
0291315   Юдинка                           деревня         52°36'         37°11'     N-37-123
0291343   Юрты Ливенские                   деревня         52°33'         37°21'     N-37-123
0291342   Юрты Нижнежерновские             деревня         52°34'         37°20'     N-37-123




                                 Глазуновский район
                                 количество записей - 64


0064100   Александровка                    деревня         52°21'         36°12'     N-37-121
0291276   Александровка                    деревня         52°26'         36°21'     N-37-121
0064101   Архангельское                    село            52°24'         36°14'     N-37-121
0291312   Богородское                      село            52°30'         36°03'     N-37-121
0063945   Васильевка                       деревня         52°26'         36°21'     N-37-121
0291289   Веселый                          посёлок         52°26'         36°05'     N-37-121
0062767   Володарская                      деревня         52°32'         36°12'     N-37-121
0010374   Глазуновка                       пгт             52°30'         36°20'     N-37-121
0291292   Глазуново                        деревня         52°25'         36°20'     N-37-121
0063067   Глебово                          деревня         52°28'         36°12'     N-37-121
0291278   Глебовский                       посёлок         52°29'         36°13'     N-37-121
0063955   Гнилуша                          село            52°30'         36°09'     N-37-121
0291311   Голенищево                       деревня         52°29'         36°03'     N-37-121
0063929   Гремячево                        деревня         52°29'         36°10'     N-37-121
0291287   Дружевец                         хутор           52°20'         36°11'     N-37-121
0064222   Захаровка                        деревня         52°27'         36°04'     N-37-121
0291288   Золотая Поляна                   посёлок         52°27'         36°07'     N-37-121
0291299   Ивановка                         деревня         52°33'         36°20'     N-37-121

                                                                      Стр. 9 из 70
   1                         2          3            4                  5

0291293   Ильинское              деревня    52°25'       36°16'      N-37-121
0062774   Каменка                деревня    52°28'       36°11'      N-37-121
0291298   Комаровка              деревня    52°30'       36°17'      N-37-121
0291286   Красная Горка          посёлок    52°25'       36°14'      N-37-121
0291291   Красная Заря           посёлок    52°23'       36°02'      N-37-121
0062929   Красная Ивановка       деревня    52°34'       36°16'      N-37-121
0291309   Красная Поляна         деревня    52°30'       36°10'      N-37-121
0064294   Красная Слободка       село       52°29'       36°26'      N-37-121
0292806   Кривцово               деревня    52°27'       36°23'      N-37-121
0063866   Кривые Верхи           деревня    52°29'       36°17'      N-37-121
