                                                                                              202.21
                              Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 28.01.2019

                                         Липецкая область

Регистр.                   Название                 Тип объекта       Географические         Номенкл.
 номер              географического объекта                             координаты              листа
                                                                                                карты
                                                                   Широта         Долгота    масштаба
                                                                                             1 :100 000
   1                           2                          3                   4                   5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 2


0010389    Елец                                    город           52°37'          38°31'    N-37-126
                                                   обл.подч.

0010400    Липецк                                  город           52°37'          39°36'    N-37-128
                                                   обл.подч.




                                         Воловский район
                                         количество записей - 77


0078539   Александровка 1-я                  деревня         52°08'         40°20'     N-37-141
0078540   Александровка 2-я                  деревня         52°08'         40°24'     N-37-141
0079562   Алексеевка                         деревня         52°10'         40°20'     N-37-141
0078958   Алексеевка                         деревня         51°58'         40°26'     M-37-009
0079560   Андреевка                          деревня         52°10'         40°22'     N-37-141
0079561   Аничково                           деревня         52°09'         40°20'     N-37-141
0079569   Архиповка                          деревня         52°18'         40°24'     N-37-141
0078974   Асташевка                          деревня         52°09'         40°12'     N-37-141
0078957   Белоносовка                        деревня         51°58'         40°17'     M-37-009
0079386   Березнеговатка                     село            52°04'         40°20'     N-37-141
0079558   Березовка                          деревня         52°04'         40°16'     N-37-141
0079559   Благодать                          деревня         52°14'         40°21'     N-37-141
0078545   Богородицкое                       село            52°16'         40°21'     N-37-141
0079566   Большая Отрада                     село            52°20'         40°22'     N-37-129
0079391   Большая Плавица                    деревня         52°12.9'       40°21.5'   N-37-141
0078541   Большие Отрожки                    деревня         52°06'         40°19'     N-37-141
0078652   Боровское                          село            52°10'         40°22'     N-37-141
0079565   Бредихино                          деревня         52°01'         40°20'     N-37-141
0079617   Бредихины Отруба                   деревня         51°59'         40°20'     M-37-009
0079572   Брянский                           посёлок         52°10'         40°32'     N-37-142
0155351   Васильевка                         село            52°12.9'       40°42.8'   N-37-142
0079383   Верхняя Матренка                   село            52°03'         40°11'     N-37-141
0079564   Веселовка                          деревня         52°20'         40°23'     N-37-129
0079567   Воля                               деревня         52°04'         40°16'     N-37-141
0267375   Воскресеновка                      деревня         52°06'         40°30'     N-37-142
0079954   Востряковка                        деревня         52°10'         40°13'     N-37-141
0079763   Георгиевка                         деревня         51°59'         40°19'     M-37-009
0078973   Георгиевка                         деревня         52°15'         40°26'     N-37-141
0079762   Данковка                           деревня         51°57'         40°18'     M-37-009
0079389   Демшинка                           село            52°07'         40°20'     N-37-141
0010383   Добринка                           посёлок         52°10'         40°29'     N-37-141
0078692   Дубовое                            село            52°23'         40°18'     N-37-129
0079398   Дурово                             село            52°13'         40°14'     N-37-141
0079955   Евлановка                          деревня         52°13'         40°27'     N-37-141
0079952   Елизаветинка                       деревня         52°08'         40°12'     N-37-141

                                                                        Стр. 8 из 39
  1                         2              3            4                 5

0079957   Забитюжье                 деревня    52°01'       40°34'     N-37-142
0079880   Заря                      деревня    52°21'       40°22'     N-37-129
0079881   Заря                      деревня    52°09'       40°22'     N-37-141
0078693   Ивановка                  село       52°25'       40°15'     N-37-129
0078986   им. Ильича                посёлок    52°15'       40°33'     N-37-142
0079850   Казельки                  деревня    52°17'       40°14'     N-37-141
0078977   Киньшино                  деревня    52°07'       40°35'     N-37-142
0079849   Коновка                   деревня    52°07'       40°12'     N-37-141
0079854   Кочегуровка               деревня    52°14'       40°27'     N-37-141
0079855   Кочетовка                 деревня    52°13'       40°28'     N-37-141
0079852   Красная Рада              деревня    52°12'       40°05'     N-37-141
0080066   Курлыковка                деревня    52°16'       40°10'     N-37-141
0080031   Ландышевка                деревня    52°01'       40°13'     N-37-141
0079390   Лебедянка                 село       52°01'       40°20'     N-37-141
0078971   Мазейка                   село       52°05'       40°25'     N-37-141
0080032   Малая Матренка            деревня    52°05'       40°12'     N-37-141
0080020   Малая Отрада              деревня    52°20'       40°26'     N-37-129
0078968   Малая Плавица             деревня    52°09'       40°20'     N-37-141
0080035   Матвеевка                 деревня    51°58'       40°17'     M-37-009
0080045   Московка                  деревня    52°06'       40°27'     N-37-141
0080043   Наливкино                 деревня    52°06'       40°20'     N-37-141
0080042   Наливкино                 деревня    52°09'       40°32'     N-37-142
0078965   Натальино                 деревня    52°15'       40°15'     N-37-141
